1574114207.248526,0
1574114207.353684,25
1574114207.458907,71
1574114207.563062,100
1574114207.668082,99
1574114207.773114,100
1574114207.876126,100
1574114207.982924,100
1574114208.088396,100
1574114208.192238,100
1574114208.298287,99
1574114208.400952,99
1574114208.504584,97
1574114208.608782,100
1574114208.713633,100
1574114208.816889,100
1574114208.920140,99
1574114209.024097,100
1574114209.128471,99
1574114209.232478,100
1574114209.336461,99
1574114209.440332,100
1574114209.544641,100
1574114209.650016,98
1574114209.754301,97
1574114209.857624,99
1574114209.962610,99
1574114210.067086,98
1574114210.170324,57
1574114210.279038,32
1574114210.382681,25
1574114210.488340,26
1574114210.592908,26
1574114210.696224,19
1574114210.801947,22
1574114210.906937,28
1574114211.009889,29
1574114211.112712,30
1574114211.217110,32
1574114211.321332,28
1574114211.425154,22
1574114211.530960,31
1574114211.635380,30
1574114211.739061,31
1574114211.843100,31
1574114211.950153,31
1574114212.054300,31
1574114212.157443,33
1574114212.262890,32
1574114212.366285,33
1574114212.470882,34
1574114212.576932,34
1574114212.679937,33
1574114212.783437,34
1574114212.886311,35
1574114212.990151,35
1574114213.093046,34
1574114213.196478,36
1574114213.300248,36
1574114213.403967,36
1574114213.508745,36
1574114213.612984,36
1574114213.717744,36
1574114213.822102,37
1574114213.927752,37
1574114214.035202,38
1574114214.139831,37
1574114214.243827,38
1574114214.347918,38
1574114214.454593,38
1574114214.558255,39
1574114214.662013,39
1574114214.765752,40
1574114214.870110,40
1574114214.975392,39
1574114215.078702,40
1574114215.182480,41
1574114215.285695,41
1574114215.389777,40
1574114215.493353,41
1574114215.596853,41
1574114215.699701,42
1574114215.805376,42
1574114215.908696,41
1574114216.011911,41
1574114216.115727,43
1574114216.219501,42
1574114216.322784,44
1574114216.426501,47
1574114216.530613,45
1574114216.634971,46
1574114216.737941,45
1574114216.843202,47
1574114216.946815,45
1574114217.049865,45
1574114217.155552,45
1574114217.259730,46
1574114217.363556,44
1574114217.468111,44
1574114217.571388,44
1574114217.675221,45
1574114217.778571,45
1574114217.883788,46
1574114217.987247,46
1574114218.091507,45
1574114218.195431,46
1574114218.299382,46
1574114218.403366,46
1574114218.506539,47
1574114218.609785,46
1574114218.718850,47
1574114218.824499,47
1574114218.927771,36
1574114219.032132,0
1574114219.135748,0
1574114219.238985,0
1574114219.342341,0
1574114219.446203,0
1574114219.551479,0
1574114219.657824,0
1574114219.762320,0
1574114219.866411,0
1574114219.975128,0
1574114220.079374,0
1574114220.183693,0
1574114220.286188,0
1574114220.391482,0
1574114220.495673,0
1574114220.599206,0
1574114220.702222,0
1574114220.806221,0
1574114220.913145,0
1574114221.016553,0
1574114221.120143,0
1574114221.224690,0
1574114221.328228,0
1574114221.431790,0
1574114221.535040,0
1574114221.639697,0
1574114221.745345,0
1574114221.848072,0
