PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=110 ms

--- 10.0.0.2 ping statistics ---
99 packets transmitted, 92 received, 7% packet loss, time 9941ms
rtt min/avg/max/mdev = 4.597/106.049/246.504/36.651 ms, pipe 3
